model_id,strategy,family,n_samples,individual_cer,individual_field_accuracy,error_correlation,consensus_cer,consensus_field_accuracy,total_evaluated_fields,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,5,0.08378498973594023,,0.74832358536013421,0.066660565013118553,0.7804927713296681,4911,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,5,0.089584697720757014,,0.72888772269012692,0.066227387816112995,0.77891087089537014,4903,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,5,0.099239377395104314,,0.67700992463467047,0.07010912637932086,0.77580940745265725,4911,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,shift_only,pad,5,0.079303490228884777,,0.9673924064602234,0.065260462706129785,0.78069639584605988,4911,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,5,0.086253537531335245,,0.72454752912770459,0.066030836735937598,0.78033387622149841,4912,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std2,grid_warp,5,0.09027907493360153,,0.69582936195024858,0.068285557787109735,0.77576743240496038,4919,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std3,grid_warp,5,0.10347315600977126,,0.63326514596712224,0.07078084109305581,0.77292132547265702,4919,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std15,grid_warp,5,0.084653261268816032,,0.75547328104945988,0.065881565333820225,0.78003659280341531,4919,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,5,0.088081704858366749,,0.71947053360222146,0.066104336664527363,0.78537880334898913,4897,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,warp_hw_only_dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,5,0.09868939149307393,,0.6594524268002262,0.070229007633587789,0.77243066884176181,4904,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/ensemble_selection_analysis.tsv;PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,3224861466c073bb8c21e5944268a910f437a178c76a335260389dc0f19eea39;ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,individual_cer is WARP avg_cer; consensus_cer is weighted_CER at the maximum available k. This is not the paper/v9/v10 3,684-row evaluation; the row is a legacy/public v7 WARP aggregate.
models/gemini-2.0-flash,Baseline,unchanged,1,,,,0.088132000000000002,0.71265599999999996,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Temperature = 0.5,temperature,5,,,,0.096483652657707683,0.70985125678615302,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Temperature = 0.5,temperature,10,,,,0.096320321448042701,0.70558035573997013,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Temperature = 1.0,temperature,5,,,,0.098223575803077751,0.7048193030884683,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Temperature = 1.0,temperature,10,,,,0.094925279163354068,0.70709151857982033,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Temperature = 2.0,temperature,5,,,,0.10295403174236677,0.68932959021039586,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Temperature = 2.0,temperature,10,,,,0.098764708318473587,0.69487286871906595,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,All Experiments,mixed,5,,,,0.090751837422842846,0.72559926210393644,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,All Experiments,mixed,10,,,,0.087306674390541156,0.73294664104518459,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Blur and Resize,blur_and_resize,5,,,,0.088610821351821481,0.72778794381727729,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Blur and Resize,blur_and_resize,10,,,,0.083687907487081076,0.73781962177447846,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Gaussian Noise,gaussian_noise,5,,,,0.089591296841518966,0.72463598054322653,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Gaussian Noise,gaussian_noise,10,,,,0.086485696187794628,0.72684284488306439,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Grid Warp,grid_warp,5,,,,0.093307213739488484,0.71705969687499826,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Grid Warp,grid_warp,10,,,,0.085452572318251596,0.73309030467523617,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Resize,resize,5,,,,0.093044337361264037,0.72219237808409908,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Resize,resize,10,,,,0.093143836577947503,0.72065708378023074,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Seam Carving,seam_carving,5,,,,0.082656596469590102,0.73962469924014107,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Seam Carving,seam_carving,10,,,,0.078765179217257036,0.74667235419793732,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
models/gemini-2.0-flash,Pad,pad,5,,,,0.083982887655179861,0.73690532732707603,,historical_v7_aggregate_denominator_not_encoded,reported_historical_aggregate,chat2rec_analysis/analysis - v7/paper/transform_metrics_table.csv,1661070745d508cb396479a88239ae2905beb1b3920f6fd763309baadb28d5ce,Category-level v7 consensus CER/accuracy. Deliberately not labeled as individual CER; underlying denominator is absent from this table.
